This function calculates N(6, 3, p).

Parameters: #simulations = 100.
p from 0.05 to 0.35 step 0.01.

p, N(p), SD, size.
0.28, 18.37, 3.07459, 75
0.29, 17.08, 2.57946, 75
0.3, 16.14, 2.61159, 75
0.31, 15.77, 2.74173, 75
0.32, 14.4, 2, 75
0.33, 13.82, 2.18806, 75
0.34, 12.73, 2.46923, 75

Processor time: 4.377.

p, N(p), SD, size.

0.05, 9.19, 5.62796, 80
0.06, 18.21, 31.4952, 80
0.07, 43.94, 78.4669, 80
0.08, 114.05, 110.589, 80
0.09, 178.49, 87.2002, 80
0.1, 157.41, 38.9351, 80
0.11, 130.73, 24.1594, 80
0.12, 99.72, 17.0095, 80
0.13, 81.99, 13.7408, 80
0.14, 64.75, 12.2616, 80
0.15, 58.64, 10.6626, 80
0.16, 50.59, 9.30709, 80
0.17, 44.58, 6.27085, 80
0.18, 40.46, 7.18251, 80
0.19, 36.03, 6.16353, 80
0.2, 32.43, 5.75196, 80
0.21, 30.56, 5.24084, 80
0.22, 27.5, 4.55522, 80
0.23, 25.32, 3.55775, 80
0.24, 23.51, 3.71348, 80
0.25, 21.59, 3.34991, 80
0.26, 20.49, 3.91023, 80
0.27, 19.52, 3.17011, 80
0.28, 18.52, 2.97819, 80
0.29, 17.15, 2.31679, 80
0.3, 16.11, 2.35327, 80
0.31, 14.99, 2.30866, 80
0.32, 14.91, 2.52624, 80
0.33, 14.56, 2.74707, 80
0.34, 13.46, 2.51165, 80

Processor time: 5.109.

p, N(p), SD, size.

0.05, 9.8, 7.63806, 85
0.06, 17.32, 16.723, 85
0.07, 51.64, 85.6519, 85
0.08, 129.51, 127.479, 85
0.09, 189.6, 84.468, 85
0.1, 177.59, 43.8231, 85
0.11, 131.21, 27.8339, 85
0.12, 100.63, 19.3962, 85
0.13, 81.14, 15.3545, 85
0.14, 67.63, 11.2407, 85
0.15, 58.44, 9.11956, 85
0.16, 50.03, 8.54688, 85
0.17, 43.09, 6.51781, 85
