This function calculates N(6, 3, p).

Parameters: #simulations = 1000.
p from 0 to 0.15 step 0.001.

p, N(p), SD, size.
0.008, 1.775, 1.15255, 420
0.009, 2.088, 1.24188, 420
0.01, 2.423, 1.29386, 420
0.011, 2.693, 1.31406, 420
0.012, 3.03, 1.50037, 420
0.013, 3.345, 1.6583, 420
0.014, 3.599, 1.72864, 420
0.015, 4.024, 1.83178, 420
0.016, 4.489, 1.89364, 420
0.017, 4.785, 1.80299, 420
0.018, 5.212, 2.1211, 420
0.019, 5.506, 2.06009, 420
0.02, 5.95, 2.22744, 420
0.021, 6.281, 2.26187, 420
0.022, 6.673, 2.54835, 420
0.023, 6.858, 2.27373, 420
0.024, 7.266, 2.36077, 420
0.025, 7.863, 2.81429, 420
0.026, 8.245, 2.92386, 420
0.027, 8.744, 3.06504, 420
0.028, 9.235, 3.49682, 420
0.029, 9.666, 3.50092, 420
0.03, 10.262, 3.64491, 420
0.031, 10.891, 4.06757, 420
0.032, 11.557, 4.34704, 420
0.033, 12.296, 4.54405, 420
0.034, 12.783, 4.57645, 420
0.035, 13.275, 4.91379, 420
0.036, 13.831, 5.12566, 420
0.037, 14.639, 5.54407, 420
0.038, 15.429, 6.10778, 420
0.039, 16.204, 5.87966, 420
0.04, 17.556, 7.41262, 420
0.041, 18.083, 8.87244, 420
0.042, 19.279, 8.14182, 420
0.043, 20.287, 9.52127, 420
0.044, 22.325, 14.2946, 420
0.045, 24.716, 66.2833, 420
0.046, 24.414, 13.5868, 420
0.047, 29.253, 84.6672, 420
0.048, 29.112, 60.3265, 420
0.049, 33.788, 84.8734, 420
0.05, 47.081, 169.626, 420
0.051, 52.998, 181.916, 420
0.052, 69.452, 246.663, 420
0.053, 73.945, 252.46, 420
0.054, 86.724, 266.53, 420
0.055, 132.183, 367.905, 420
0.056, 145.705, 383.411, 420
0.057, 236.109, 508.532, 420
0.058, 269.692, 539.432, 420
0.059, 324.734, 581.836, 420
0.06, 438.231, 639.661, 420
0.061, 488.684, 660.032, 420
0.062, 606.014, 681.436, 420
0.063, 713.007, 686.611, 420
0.064, 837.839, 664.276, 420
0.065, 884.82, 603.915, 420
0.066, 965.435, 555.077, 420
0.067, 1005.93, 484.818, 420
0.068, 1050.31, 368.93, 420
0.069, 997.431, 328.211, 420
0.07, 985.927, 283.105, 420
0.071, 934.519, 233.136, 420
0.072, 873.166, 200.818, 420
0.073, 819.943, 178.963, 420
0.074, 764.686, 164.742, 420
0.075, 702.944, 145.549, 420
0.076, 649.348, 124.324, 420
0.077, 610.713, 112.331, 420
0.078, 571.324, 104.575, 420
0.079, 541.282, 102.14, 420
0.08, 509.389, 94.9793, 420
0.081, 478.402, 84.2706, 420
0.082, 447.565, 77.279, 420
0.083, 422.162, 72.4736, 420
0.084, 401.826, 69.6143, 420
0.085, 380.16, 62.0822, 420
0.086, 360.55, 59.9274, 420
0.087, 343.395, 52.9879, 420
0.088, 324.853, 50.2488, 420
0.089, 313.003, 48.874, 420
0.09, 298.554, 47.1125, 420
0.091, 284.299, 41.39, 420
0.092, 270.892, 38.4971, 420
0.093, 259.236, 37.9223, 420
0.094, 250.062, 35.8705, 420
0.095, 239.529, 34.3612, 420
0.096, 229.836, 32.3295, 420
0.097, 222.049, 29.3997, 420
0.098, 214.578, 30.5269, 420
0.099, 205.373, 27.5594, 420
0.1, 198.868, 25.9002, 420
0.101, 191.92, 25.5622, 420
0.102, 184.845, 23.8381, 420
0.103, 180.346, 23.2519, 420
0.104, 173.31, 21.9501, 420
0.105, 168.335, 22.0218, 420
0.106, 163.126, 21.2943, 420
0.107, 158.752, 19.8291, 420
0.108, 154.421, 19.1363, 420
0.109, 149.389, 19.1774, 420
0.11, 144.599, 18.0662, 420
0.111, 141.591, 16.9463, 420
0.112, 137.412, 16.9085, 420
0.113, 133.499, 15.7998, 420
0.114, 130.054, 16.1842, 420
0.115, 126.744, 15.2369, 420
0.116, 123.357, 15.3036, 420
0.117, 120.604, 14.5802, 420
0.118, 117.469, 13.6848, 420
0.119, 115.133, 13.2631, 420
0.12, 111.38, 12.1513, 420
0.121, 110.175, 12.9184, 420
0.122, 106.61, 12.3261, 420
0.123, 104.885, 12.3026, 420
0.124, 103.288, 12.2167, 420
0.125, 100.318, 10.9927, 420
0.126, 98.522, 11.2596, 420
0.127, 95.968, 10.9703, 420
0.128, 94.08, 10.3204, 420
0.129, 92.529, 11.1483, 420
0.13, 90.535, 9.91538, 420
0.131, 88.337, 10.0428, 420
0.132, 86.506, 9.01354, 420
0.133, 85.398, 9.01042, 420
0.134, 83.737, 8.95421, 420
0.135, 82.315, 9.04067, 420
0.136, 80.893, 9.32553, 420
